song_id,similar_song_id,similarity_score,method
song_0001,song_0058,0.8747,tfidf
song_0001,song_0213,0.8736,tfidf
song_0001,song_0159,0.8616,tfidf
song_0001,song_0180,0.8484,tfidf
song_0001,song_0095,0.847,tfidf
song_0002,song_0112,0.7877,tfidf
song_0002,song_0225,0.7751,tfidf
song_0002,song_0004,0.7332,tfidf
song_0002,song_0083,0.7289,tfidf
song_0002,song_0279,0.7141,tfidf
song_0003,song_0206,0.8469,tfidf
song_0003,song_0227,0.8282,tfidf
song_0003,song_0026,0.824,tfidf
song_0003,song_0231,0.8224,tfidf
song_0003,song_0187,0.8194,tfidf
song_0004,song_0181,0.8626,tfidf
song_0004,song_0292,0.8579,tfidf
song_0004,song_0182,0.8479,tfidf
song_0004,song_0027,0.8354,tfidf
song_0004,song_0175,0.8287,tfidf
song_0005,song_0057,0.7944,tfidf
song_0005,song_0032,0.776,tfidf
song_0005,song_0039,0.7664,tfidf
song_0005,song_0090,0.7556,tfidf
song_0005,song_0095,0.7529,tfidf
song_0006,song_0107,0.8697,tfidf
song_0006,song_0256,0.8541,tfidf
song_0006,song_0218,0.8422,tfidf
song_0006,song_0229,0.8413,tfidf
song_0006,song_0008,0.837,tfidf
song_0007,song_0172,0.8605,tfidf
song_0007,song_0247,0.8527,tfidf
song_0007,song_0186,0.8416,tfidf
song_0007,song_0281,0.8226,tfidf
song_0007,song_0161,0.8145,tfidf
song_0008,song_0040,0.8507,tfidf
song_0008,song_0218,0.839,tfidf
song_0008,song_0256,0.8379,tfidf
song_0008,song_0006,0.837,tfidf
song_0008,song_0101,0.8134,tfidf
song_0009,song_0194,0.8405,tfidf
song_0009,song_0205,0.8244,tfidf
song_0009,song_0120,0.8208,tfidf
song_0009,song_0201,0.8135,tfidf
song_0009,song_0239,0.81,tfidf
song_0010,song_0061,0.8438,tfidf
song_0010,song_0056,0.8287,tfidf
song_0010,song_0293,0.8286,tfidf
song_0010,song_0152,0.8103,tfidf
song_0010,song_0289,0.8015,tfidf
song_0011,song_0045,0.8301,tfidf
song_0011,song_0076,0.8246,tfidf
song_0011,song_0109,0.8103,tfidf
song_0011,song_0256,0.8052,tfidf
song_0011,song_0035,0.793,tfidf
song_0012,song_0175,0.8769,tfidf
song_0012,song_0182,0.8292,tfidf
song_0012,song_0292,0.8278,tfidf
song_0012,song_0004,0.8266,tfidf
song_0012,song_0181,0.8012,tfidf
song_0013,song_0049,0.8498,tfidf
song_0013,song_0124,0.8454,tfidf
song_0013,song_0223,0.8323,tfidf
song_0013,song_0178,0.8229,tfidf
song_0013,song_0276,0.8219,tfidf
song_0014,song_0253,0.8638,tfidf
song_0014,song_0249,0.8203,tfidf
song_0014,song_0162,0.8081,tfidf
song_0014,song_0066,0.8071,tfidf
song_0014,song_0100,0.8024,tfidf
song_0015,song_0203,0.81,tfidf
song_0015,song_0210,0.8009,tfidf
song_0015,song_0080,0.7968,tfidf
song_0015,song_0212,0.7952,tfidf
song_0015,song_0185,0.7809,tfidf
song_0016,song_0011,0.7534,tfidf
song_0016,song_0045,0.7337,tfidf
song_0016,song_0034,0.7269,tfidf
song_0016,song_0148,0.7239,tfidf
song_0016,song_0158,0.706,tfidf
song_0017,song_0096,0.8492,tfidf
song_0017,song_0102,0.8458,tfidf
song_0017,song_0080,0.8403,tfidf
song_0017,song_0041,0.8185,tfidf
song_0017,song_0236,0.8166,tfidf
song_0018,song_0210,0.8159,tfidf
song_0018,song_0212,0.8107,tfidf
song_0018,song_0203,0.8079,tfidf
song_0018,song_0050,0.8017,tfidf
song_0018,song_0017,0.8013,tfidf
song_0019,song_0087,0.8392,tfidf
song_0019,song_0192,0.8327,tfidf
song_0019,song_0177,0.8262,tfidf
song_0019,song_0069,0.8238,tfidf
song_0019,song_0209,0.822,tfidf
song_0020,song_0179,0.8556,tfidf
song_0020,song_0027,0.8255,tfidf
song_0020,song_0265,0.8175,tfidf
song_0020,song_0114,0.8153,tfidf
song_0020,song_0246,0.8101,tfidf
song_0021,song_0066,0.8305,tfidf
song_0021,song_0189,0.8299,tfidf
song_0021,song_0170,0.8149,tfidf
song_0021,song_0300,0.795,tfidf
song_0021,song_0146,0.7928,tfidf
song_0022,song_0236,0.8885,tfidf
song_0022,song_0041,0.882,tfidf
song_0022,song_0036,0.8643,tfidf
song_0022,song_0203,0.8254,tfidf
song_0022,song_0102,0.8247,tfidf
song_0023,song_0229,0.8216,tfidf
song_0023,song_0275,0.8088,tfidf
song_0023,song_0243,0.8081,tfidf
song_0023,song_0137,0.7999,tfidf
song_0023,song_0294,0.799,tfidf
song_0024,song_0229,0.7856,tfidf
song_0024,song_0156,0.7757,tfidf
song_0024,song_0218,0.7675,tfidf
song_0024,song_0264,0.7557,tfidf
song_0024,song_0035,0.7546,tfidf
song_0025,song_0036,0.8542,tfidf
song_0025,song_0102,0.8342,tfidf
song_0025,song_0022,0.8145,tfidf
song_0025,song_0046,0.8069,tfidf
song_0025,song_0041,0.8028,tfidf
song_0026,song_0274,0.8513,tfidf
song_0026,song_0178,0.8475,tfidf
song_0026,song_0108,0.8342,tfidf
song_0026,song_0087,0.8259,tfidf
song_0026,song_0003,0.824,tfidf
song_0027,song_0098,0.8466,tfidf
song_0027,song_0004,0.8354,tfidf
song_0027,song_0112,0.8353,tfidf
song_0027,song_0181,0.832,tfidf
song_0027,song_0020,0.8255,tfidf
song_0028,song_0051,0.8528,tfidf
song_0028,song_0154,0.8183,tfidf
song_0028,song_0196,0.8094,tfidf
song_0028,song_0095,0.8071,tfidf
song_0028,song_0135,0.805,tfidf
song_0029,song_0143,0.8374,tfidf
song_0029,song_0178,0.8268,tfidf
song_0029,song_0274,0.8246,tfidf
song_0029,song_0257,0.8165,tfidf
song_0029,song_0108,0.8137,tfidf
song_0030,song_0135,0.8903,tfidf
song_0030,song_0180,0.8397,tfidf
song_0030,song_0039,0.8384,tfidf
song_0030,song_0001,0.8363,tfidf
song_0030,song_0166,0.83,tfidf
song_0031,song_0288,0.8727,tfidf
song_0031,song_0128,0.849,tfidf
song_0031,song_0272,0.804,tfidf
song_0031,song_0211,0.7996,tfidf
song_0031,song_0295,0.7749,tfidf
song_0032,song_0196,0.8948,tfidf
song_0032,song_0039,0.8493,tfidf
song_0032,song_0215,0.8298,tfidf
song_0032,song_0057,0.8265,tfidf
song_0032,song_0154,0.8197,tfidf
song_0033,song_0170,0.8287,tfidf
song_0033,song_0055,0.8047,tfidf
song_0033,song_0300,0.7787,tfidf
song_0033,song_0094,0.778,tfidf
song_0033,song_0021,0.7631,tfidf
song_0034,song_0045,0.8945,tfidf
song_0034,song_0258,0.8627,tfidf
song_0034,song_0197,0.8309,tfidf
song_0034,song_0035,0.8144,tfidf
song_0034,song_0006,0.8141,tfidf
song_0035,song_0251,0.8425,tfidf
song_0035,song_0045,0.8191,tfidf
song_0035,song_0034,0.8144,tfidf
song_0035,song_0109,0.8067,tfidf
song_0035,song_0006,0.7955,tfidf
song_0036,song_0102,0.9135,tfidf
song_0036,song_0022,0.8643,tfidf
song_0036,song_0025,0.8542,tfidf
song_0036,song_0080,0.8537,tfidf
song_0036,song_0046,0.8356,tfidf
song_0037,song_0237,0.883,tfidf
song_0037,song_0233,0.8701,tfidf
song_0037,song_0249,0.8568,tfidf
song_0037,song_0047,0.8566,tfidf
song_0037,song_0283,0.8396,tfidf
song_0038,song_0091,0.7916,tfidf
song_0038,song_0186,0.7906,tfidf
song_0038,song_0172,0.7834,tfidf
song_0038,song_0262,0.7721,tfidf
song_0038,song_0007,0.7581,tfidf
song_0039,song_0095,0.8739,tfidf
song_0039,song_0215,0.8578,tfidf
song_0039,song_0129,0.8505,tfidf
song_0039,song_0180,0.8496,tfidf
song_0039,song_0032,0.8493,tfidf
song_0040,song_0138,0.8807,tfidf
song_0040,song_0256,0.8692,tfidf
song_0040,song_0218,0.861,tfidf
song_0040,song_0008,0.8507,tfidf
song_0040,song_0243,0.8439,tfidf
song_0041,song_0236,0.8939,tfidf
song_0041,song_0022,0.882,tfidf
song_0041,song_0054,0.8604,tfidf
song_0041,song_0203,0.859,tfidf
song_0041,song_0080,0.8357,tfidf
song_0042,song_0253,0.8621,tfidf
song_0042,song_0072,0.8294,tfidf
song_0042,song_0249,0.8227,tfidf
song_0042,song_0047,0.8205,tfidf
song_0042,song_0195,0.8177,tfidf
song_0043,song_0169,0.8455,tfidf
song_0043,song_0167,0.8432,tfidf
song_0043,song_0115,0.8212,tfidf
song_0043,song_0150,0.8202,tfidf
song_0043,song_0248,0.8091,tfidf
song_0044,song_0249,0.8462,tfidf
song_0044,song_0113,0.8192,tfidf
song_0044,song_0255,0.8083,tfidf
song_0044,song_0110,0.8064,tfidf
song_0044,song_0237,0.8051,tfidf
song_0045,song_0034,0.8945,tfidf
song_0045,song_0011,0.8301,tfidf
song_0045,song_0035,0.8191,tfidf
song_0045,song_0256,0.8171,tfidf
song_0045,song_0148,0.8058,tfidf
song_0046,song_0080,0.8532,tfidf
song_0046,song_0054,0.836,tfidf
song_0046,song_0036,0.8356,tfidf
song_0046,song_0268,0.817,tfidf
song_0046,song_0102,0.8161,tfidf
song_0047,song_0249,0.8613,tfidf
song_0047,song_0037,0.8566,tfidf
song_0047,song_0233,0.8543,tfidf
song_0047,song_0230,0.8357,tfidf
song_0047,song_0253,0.8283,tfidf
song_0048,song_0218,0.8792,tfidf
song_0048,song_0256,0.8285,tfidf
song_0048,song_0148,0.8043,tfidf
song_0048,song_0006,0.8039,tfidf
song_0048,song_0107,0.7969,tfidf
song_0049,song_0108,0.8734,tfidf
song_0049,song_0276,0.8696,tfidf
song_0049,song_0178,0.8638,tfidf
song_0049,song_0013,0.8498,tfidf
song_0049,song_0124,0.8307,tfidf
song_0050,song_0080,0.8612,tfidf
song_0050,song_0036,0.8352,tfidf
song_0050,song_0046,0.8149,tfidf
song_0050,song_0268,0.8118,tfidf
song_0050,song_0165,0.8112,tfidf
song_0051,song_0028,0.8528,tfidf
song_0051,song_0095,0.839,tfidf
song_0051,song_0196,0.8244,tfidf
song_0051,song_0032,0.8108,tfidf
song_0051,song_0180,0.7991,tfidf
song_0052,song_0198,0.8529,tfidf
song_0052,song_0295,0.8233,tfidf
song_0052,song_0193,0.809,tfidf
song_0052,song_0289,0.7998,tfidf
song_0052,song_0293,0.7962,tfidf
song_0053,song_0026,0.8073,tfidf
song_0053,song_0003,0.8023,tfidf
song_0053,song_0049,0.7931,tfidf
song_0053,song_0178,0.7928,tfidf
song_0053,song_0257,0.7727,tfidf
song_0054,song_0041,0.8604,tfidf
song_0054,song_0080,0.8427,tfidf
song_0054,song_0046,0.836,tfidf
song_0054,song_0236,0.8243,tfidf
song_0054,song_0165,0.8164,tfidf
song_0055,song_0146,0.8564,tfidf
song_0055,song_0066,0.8179,tfidf
song_0055,song_0170,0.81,tfidf
song_0055,song_0033,0.8047,tfidf
song_0055,song_0283,0.7919,tfidf
song_0056,song_0061,0.8752,tfidf
song_0056,song_0199,0.8694,tfidf
song_0056,song_0193,0.8613,tfidf
song_0056,song_0152,0.8298,tfidf
song_0056,song_0010,0.8287,tfidf
song_0057,song_0032,0.8265,tfidf
song_0057,song_0058,0.823,tfidf
song_0057,song_0001,0.822,tfidf
song_0057,song_0180,0.8123,tfidf
song_0057,song_0078,0.8102,tfidf
song_0058,song_0001,0.8747,tfidf
song_0058,song_0078,0.8577,tfidf
song_0058,song_0245,0.8393,tfidf
song_0058,song_0063,0.8324,tfidf
song_0058,song_0057,0.823,tfidf
