product_id,name,category,subcategory,price,cost,stock_quantity,is_active,created_at
PROD-001,Wireless Bluetooth Headphones,Electronics,Audio,79.99,35.0,44,True,2023-01-01 00:00:00
PROD-002,USB-C Charging Cable 6ft,Electronics,Accessories,12.99,4.0,386,True,2023-01-01 00:00:00
PROD-003,Portable Power Bank 10000mAh,Electronics,Accessories,29.99,12.0,327,True,2023-01-01 00:00:00
PROD-004,Laptop Stand Adjustable,Electronics,Accessories,34.99,14.0,219,True,2023-01-01 00:00:00
PROD-005,Mechanical Keyboard TKL,Electronics,Peripherals,89.99,40.0,216,True,2023-01-01 00:00:00
PROD-006,Wireless Mouse Ergonomic,Electronics,Peripherals,39.99,16.0,429,True,2023-01-01 00:00:00
PROD-007,Monitor 24-inch 1080p,Electronics,Displays,199.99,90.0,42,True,2023-01-01 00:00:00
PROD-008,Webcam 1080p HD,Electronics,Accessories,49.99,20.0,348,True,2023-01-01 00:00:00
PROD-009,Smart Speaker Mini,Electronics,Audio,59.99,25.0,100,True,2023-01-01 00:00:00
PROD-010,Noise Cancelling Earbuds,Electronics,Audio,129.99,55.0,47,True,2023-01-01 00:00:00
PROD-011,Men's Running Shoes,Apparel,Footwear,89.99,35.0,263,True,2023-01-01 00:00:00
PROD-012,Women's Yoga Pants,Apparel,Activewear,49.99,18.0,487,True,2023-01-01 00:00:00
PROD-013,Men's Casual T-Shirt,Apparel,Tops,24.99,8.0,367,True,2023-01-01 00:00:00
PROD-014,Women's Winter Jacket,Apparel,Outerwear,149.99,60.0,380,True,2023-01-01 00:00:00
PROD-015,Men's Slim-Fit Jeans,Apparel,Bottoms,59.99,22.0,358,True,2023-01-01 00:00:00
PROD-016,Women's Summer Dress,Apparel,Dresses,44.99,16.0,393,True,2023-01-01 00:00:00
PROD-017,Unisex Baseball Cap,Apparel,Accessories,19.99,7.0,256,True,2023-01-01 00:00:00
PROD-018,Athletic Socks 6-Pack,Apparel,Accessories,14.99,5.0,64,True,2023-01-01 00:00:00
PROD-019,Hoodie Zip-Up,Apparel,Tops,54.99,20.0,419,True,2023-01-01 00:00:00
PROD-020,Leggings High-Waist,Apparel,Activewear,39.99,14.0,225,True,2023-01-01 00:00:00
PROD-021,Non-Stick Frying Pan Set,Home & Garden,Cookware,49.99,20.0,250,True,2023-01-01 00:00:00
PROD-022,Coffee Maker 12-Cup,Home & Garden,Kitchen,79.99,32.0,185,True,2023-01-01 00:00:00
PROD-023,Air Purifier HEPA,Home & Garden,Appliances,129.99,55.0,91,True,2023-01-01 00:00:00
PROD-024,Blackout Curtains Pair,Home & Garden,Decor,39.99,15.0,463,True,2023-01-01 00:00:00
PROD-025,Bamboo Cutting Board Set,Home & Garden,Kitchen,29.99,11.0,390,True,2023-01-01 00:00:00
PROD-026,Indoor Plant Pot Set 3-Pack,Home & Garden,Garden,24.99,9.0,321,True,2023-01-01 00:00:00
PROD-027,Vacuum Cleaner Robot,Home & Garden,Appliances,249.99,110.0,201,True,2023-01-01 00:00:00
PROD-028,Scented Candle Set,Home & Garden,Decor,19.99,7.0,411,True,2023-01-01 00:00:00
PROD-029,Storage Ottoman,Home & Garden,Furniture,89.99,38.0,272,True,2023-01-01 00:00:00
PROD-030,Throw Pillow Set,Home & Garden,Decor,34.99,13.0,221,True,2023-01-01 00:00:00
PROD-031,Yoga Mat Non-Slip,Sports & Outdoors,Fitness,29.99,11.0,225,True,2023-01-01 00:00:00
PROD-032,Resistance Bands Set,Sports & Outdoors,Fitness,19.99,7.0,113,True,2023-01-01 00:00:00
PROD-033,Camping Tent 2-Person,Sports & Outdoors,Camping,149.99,62.0,46,True,2023-01-01 00:00:00
PROD-034,Hiking Backpack 40L,Sports & Outdoors,Camping,89.99,36.0,277,True,2023-01-01 00:00:00
PROD-035,Water Bottle Insulated 32oz,Sports & Outdoors,Hydration,24.99,9.0,443,True,2023-01-01 00:00:00
PROD-036,Jump Rope Speed,Sports & Outdoors,Fitness,14.99,5.0,31,True,2023-01-01 00:00:00
PROD-037,Dumbbells Adjustable Set,Sports & Outdoors,Fitness,199.99,88.0,429,True,2023-01-01 00:00:00
PROD-038,Bike Helmet Adult,Sports & Outdoors,Cycling,59.99,24.0,413,True,2023-01-01 00:00:00
PROD-039,Foam Roller Massage,Sports & Outdoors,Recovery,24.99,9.0,138,True,2023-01-01 00:00:00
PROD-040,Sports Water Bottle 24oz,Sports & Outdoors,Hydration,19.99,7.0,315,True,2023-01-01 00:00:00
PROD-041,Python Crash Course Book,Books,Programming,39.99,15.0,82,True,2023-01-01 00:00:00
PROD-042,Data Science Handbook,Books,Data Science,49.99,19.0,379,True,2023-01-01 00:00:00
PROD-043,The Art of War,Books,Classics,9.99,3.0,350,True,2023-01-01 00:00:00
PROD-044,Atomic Habits,Books,Self-Help,16.99,6.0,177,True,2023-01-01 00:00:00
PROD-045,Clean Code,Books,Programming,44.99,17.0,33,True,2023-01-01 00:00:00
PROD-046,Deep Work,Books,Productivity,18.99,7.0,485,True,2023-01-01 00:00:00
PROD-047,Thinking Fast and Slow,Books,Psychology,17.99,7.0,222,True,2023-01-01 00:00:00
PROD-048,The Lean Startup,Books,Business,19.99,8.0,446,True,2023-01-01 00:00:00
PROD-049,Designing Data-Intensive Apps,Books,Programming,59.99,23.0,338,True,2023-01-01 00:00:00
PROD-050,Sapiens,Books,History,18.99,7.0,389,True,2023-01-01 00:00:00
PROD-051,LEGO Classic Large Set,Toys,Building,89.99,38.0,379,True,2023-01-01 00:00:00
PROD-052,Board Game Pandemic,Toys,Board Games,44.99,18.0,97,True,2023-01-01 00:00:00
PROD-053,Rubik's Cube 3x3,Toys,Puzzles,9.99,3.5,181,True,2023-01-01 00:00:00
PROD-054,RC Car Off-Road,Toys,Remote Control,49.99,20.0,233,True,2023-01-01 00:00:00
PROD-055,Jigsaw Puzzle 1000pc,Toys,Puzzles,19.99,7.0,248,True,2023-01-01 00:00:00
PROD-056,Stuffed Animal Bear,Toys,Plush,24.99,9.0,21,True,2023-01-01 00:00:00
PROD-057,Play-Doh Starter Set,Toys,Arts & Crafts,14.99,5.0,273,True,2023-01-01 00:00:00
