mxm_track_id,token,term_weight,dataset
fixture_song_001,dance,1.4,fixture_bow
fixture_song_001,light,1.2,fixture_bow
fixture_song_001,city,0.8,fixture_bow
fixture_song_002,mirror,1.3,fixture_bow
fixture_song_002,summer,1.1,fixture_bow
fixture_song_002,radio,0.7,fixture_bow
fixture_song_003,neon,1.6,fixture_bow
fixture_song_003,pulse,1.5,fixture_bow
fixture_song_003,signal,1.1,fixture_bow
fixture_song_004,fire,1.4,fixture_bow
fixture_song_004,guitar,1.3,fixture_bow
fixture_song_004,storm,0.9,fixture_bow
fixture_song_005,chrome,1.4,fixture_bow
fixture_song_005,wave,1.2,fixture_bow
fixture_song_005,static,1.0,fixture_bow
fixture_song_006,river,1.3,fixture_bow
fixture_song_006,home,1.2,fixture_bow
fixture_song_006,story,0.9,fixture_bow
fixture_song_007,flow,1.5,fixture_bow
fixture_song_007,beat,1.4,fixture_bow
fixture_song_007,truth,1.0,fixture_bow
fixture_song_008,road,1.2,fixture_bow
fixture_song_008,voice,1.1,fixture_bow
fixture_song_008,drive,0.9,fixture_bow
