year,term,score,rank
1990,silence,2.1753,1
1990,touch,2.1428,2
1990,warmth,2.0655,3
1990,hustle,2.0407,4
1990,truth,1.8383,5
1990,slow,1.7985,6
1990,beat,1.7382,7
1990,memory,1.7221,8
1991,hustle,2.2042,1
1991,calle,2.1282,2
1991,street,2.07395,3
1991,memory,2.0668,4
1991,ritmo,1.9597,5
1991,power,1.7277,6
1991,cipher,1.6927,7
1991,fiesta,1.6465,8
1992,radio,2.5765,1
1992,mirror,2.1857,2
1992,shine,2.1108,3
1992,light,1.8795,4
1992,heart,1.7858,5
1992,train,1.5896,6
1992,night,1.5622,7
1992,dance,1.5382,8
1995,playa,2.2394,1
1995,mar,2.1911,2
1995,midnight,2.182,3
1995,rain,2.1423,4
1995,ashes,2.1065,5
1995,ritmo,2.1027,6
1995,soul,2.0705,7
1995,luna,2.0071,8
1996,ashes,2.1809,1
1996,signal,2.09945,2
1996,fire,2.0104,3
1996,radio,1.9476,4
1996,bass,1.939,5
1996,chrome,1.9143,6
1996,thunder,1.8602,7
1996,neon,1.82315,8
1997,wave,2.1928,1
1997,break,2.1845,2
1997,static,2.0333,3
1997,neon,1.961,4
1997,motion,1.944,5
1997,radio,1.922,6
1997,storm,1.8861,7
1997,circuit,1.8142,8
1998,train,2.2104,1
1998,circuit,2.1702,2
1998,river,2.1351,3
1998,wave,1.9529,4
1998,memory,1.8713333333333335,5
1998,wind,1.8119,6
1998,neon,1.8007,7
1998,street,1.753,8
1999,mirror,2.2256,1
1999,river,2.1998,2
1999,bass,2.1666,3
1999,cipher,2.1257,4
1999,flow,2.0959,5
1999,field,2.0847,6
1999,sol,2.0293,7
1999,circuit,2.0119,8
2000,touch,2.1999,1
2000,room,2.1969,2
2000,blue,2.0337,3
2000,slow,2.0071,4
2000,drive,1.8222,5
2000,velvet,1.7954,6
2000,rain,1.7176,7
2000,midnight,1.5743,8
2001,shine,2.2492,1
2001,roots,2.1313,2
2001,train,2.0734,3
2001,neon,2.03565,4
2001,home,1.9953,5
2001,night,1.9772,6
2001,heart,1.9662,7
2001,drive,1.9590857142857143,8
2002,summer,2.2472,1
2002,night,2.21,2
2002,heart,2.1787,3
2002,road,2.146,4
2002,break,2.1228,5
2002,city,2.05135,6
2002,storm,2.0115,7
2002,dream,1.9535,8
2003,fiesta,2.2067,1
2003,flow,2.1943,2
2003,sol,2.1929,3
2003,luna,2.1029,4
2003,beat,2.0988,5
2003,train,2.0722,6
2003,mirror,1.9666,7
2003,legacy,1.9009500000000001,8
2004,legacy,2.3266666666666667,1
2004,room,2.2187,2
2004,rebel,2.1748,3
2004,corazon,2.081,4
2004,radio,2.0398,5
2004,mirror,1.955,6
2004,road,1.9433,7
2004,night,1.9367,8
2005,wave,2.2476,1
2005,shine,2.2054,2
2005,field,2.161,3
2005,light,2.1488,4
2005,drive,2.0665666666666667,5
2005,rebel,2.0585,6
2005,velvet,2.0254,7
2005,heart,1.9623,8
2006,blue,2.2038,1
2006,luna,2.0861,2
2006,river,1.9367,3
2006,roots,1.92655,4
2006,memory,1.89745,5
2006,signal,1.8747800000000001,6
2006,sol,1.8733,7
2006,motion,1.8729,8
2007,legacy,2.3573,1
2007,ashes,2.233,2
2007,warmth,2.2016,3
2007,blue,2.1287,4
2007,storm,2.0888,5
2007,midnight,1.9869,6
2007,cipher,1.9865333333333333,7
2007,drive,1.8361999999999998,8
2008,guitar,2.2042,1
2008,rebel,2.196,2
2008,light,2.164,3
2008,summer,2.0969,4
2008,rain,2.0938,5
2008,beat,2.0808,6
2008,power,2.0759666666666665,7
2008,touch,2.0431999999999997,8
2009,thunder,2.2183,1
2009,corazon,2.1142,2
2009,cipher,2.1066000000000003,3
2009,power,2.04805,4
2009,static,2.0416,5
2009,beso,2.0405,6
2009,road,2.0007,7
2009,flow,1.95105,8
2010,mar,2.2104,1
2010,motion,2.1798,2
2010,home,2.1283,3
2010,field,2.0113,4
2010,pulse,2.0108333333333333,5
2010,rise,2.0068444444444444,6
2010,harbor,1.9697,7
2010,neon,1.8241399999999999,8
2011,hustle,2.1560666666666664,1
2011,drive,2.0779,2
2011,rise,2.02865,3
2011,pulse,1.8826666666666665,4
2011,power,1.8586,5
2011,truth,1.7851,6
2011,flow,1.7309999999999999,7
2011,vida,1.7244,8
2012,light,2.2406,1
2012,field,2.21615,2
2012,radio,2.1389,3
2012,wave,2.01105,4
2012,train,2.0046,5
2012,pulse,1.97756,6
2012,river,1.8544,7
2012,silence,1.8499400000000001,8
2013,room,2.1728,1
2013,rise,2.05843,2
2013,touch,1.9693,3
2013,fiesta,1.9075333333333333,4
2013,shine,1.88715,5
2013,sol,1.8556,6
2013,heart,1.85015,7
2013,power,1.8122599999999998,8
2014,sol,1.9969,1
2014,wave,1.8579,2
2014,break,1.813277777777778,3
2014,road,1.782988888888889,4
2014,room,1.7793800000000002,5
2014,corazon,1.76965,6
2014,drive,1.7219888888888888,7
2014,fire,1.6929,8
2015,silence,2.1189,1
2015,blue,1.99335,2
2015,thunder,1.9231,3
2015,bass,1.86315,4
2015,flow,1.852175,5
2015,playa,1.7869333333333335,6
2015,story,1.7754625,7
2015,memory,1.7499625,8
2016,block,2.2233,1
2016,calle,2.2001,2
2016,story,2.1496,3
2016,corazon,2.0018,4
2016,flow,1.9605,5
2016,pulse,1.8229799999999998,6
2016,heart,1.7873,7
2016,soul,1.7646,8
2017,rise,1.9158333333333333,1
2017,mirror,1.89175,2
2017,beat,1.865342857142857,3
2017,midnight,1.7893666666666668,4
2017,heart,1.7725857142857144,5
2017,silence,1.7232,6
2017,legacy,1.6882,7
2017,corazon,1.6713,8
2018,fiesta,2.2158,1
2018,story,2.0638,2
2018,rise,1.9800538461538462,3
2018,cipher,1.877775,4
2018,guitar,1.8643999999999998,5
2018,hustle,1.850475,6
2018,roots,1.83135,7
2018,flow,1.83025,8
2019,blue,2.2423,1
2019,midnight,2.1447,2
2019,memory,2.1361,3
2019,rise,2.0606833333333334,4
2019,rebel,1.9440000000000002,5
2019,mirror,1.8633375,6
2019,ashes,1.8320599999999998,7
2019,story,1.78985,8
2020,soul,1.9215999999999998,1
2020,truth,1.907490909090909,2
2020,mar,1.89815,3
2020,static,1.8890909090909092,4
2020,chrome,1.8476555555555558,5
2020,roots,1.7724714285714285,6
2020,thunder,1.7565,7
2020,river,1.7499333333333336,8
2021,circuit,2.1172,1
2021,harbor,1.9610333333333332,2
2021,wave,1.9365,3
2021,roots,1.8763384615384615,4
2021,power,1.86165,5
2021,fiesta,1.8078000000000003,6
2021,storm,1.802775,7
2021,mirror,1.7687,8
2022,harbor,2.1385,1
2022,rise,2.0606,2
2022,ashes,2.0438,3
2022,truth,1.9395666666666667,4
2022,memory,1.8705,5
2022,calle,1.8652250000000001,6
2022,signal,1.8443999999999998,7
2022,circuit,1.8175500000000002,8
2023,touch,1.897025,1
2023,roots,1.833346153846154,2
2023,wind,1.8059666666666665,3
2023,chrome,1.7971625,4
2023,home,1.7744333333333333,5
2023,river,1.762175,6
2023,train,1.70265,7
2023,static,1.6869500000000002,8
2024,light,1.9876,1
2024,chrome,1.94715,2
2024,rain,1.9190666666666667,3
2024,beso,1.9155,4
2024,circuit,1.9097333333333333,5
2024,night,1.8535499999999998,6
2024,mar,1.8329,7
2024,static,1.8247916666666668,8
2025,beso,2.1395,1
2025,power,1.9734500000000001,2
2025,soul,1.9596,3
2025,ritmo,1.9095,4
2025,midnight,1.9024999999999999,5
2025,fiesta,1.8294,6
2025,rise,1.8253499999999998,7
2025,story,1.7911,8
