song_id,topic_id,topic_label,topic_score
song_0001,2,fiesta / calle / mar,0.6335
song_0002,5,chrome / circuit / neon,0.2499
song_0003,4,blue / room / rain,0.6101
song_0004,5,chrome / circuit / neon,0.3686
song_0005,2,fiesta / calle / mar,0.569
song_0006,1,rebel / break / ashes,0.5839
song_0007,5,chrome / circuit / neon,0.5528
song_0008,1,rebel / break / ashes,0.5568
song_0009,3,legacy / block / power,0.5052
song_0010,5,chrome / circuit / neon,0.5675
song_0011,1,rebel / break / ashes,0.5792
song_0012,5,chrome / circuit / neon,0.2804
song_0013,4,blue / room / rain,0.6041
song_0014,3,legacy / block / power,0.5155
song_0015,0,story / home / field,0.1788
song_0016,1,rebel / break / ashes,0.4989
song_0017,0,story / home / field,0.195
song_0018,0,story / home / field,0.1888
song_0019,4,blue / room / rain,0.5934
song_0020,5,chrome / circuit / neon,0.3204
song_0021,3,legacy / block / power,0.5263
song_0022,0,story / home / field,0.2033
song_0023,1,rebel / break / ashes,0.5591
song_0024,1,rebel / break / ashes,0.5169
song_0025,0,story / home / field,0.199
song_0026,4,blue / room / rain,0.6269
song_0027,5,chrome / circuit / neon,0.3476
song_0028,2,fiesta / calle / mar,0.5893
song_0029,4,blue / room / rain,0.5775
song_0030,2,fiesta / calle / mar,0.6052
song_0031,5,chrome / circuit / neon,0.5256
song_0032,2,fiesta / calle / mar,0.6242
song_0033,3,legacy / block / power,0.5188
song_0034,1,rebel / break / ashes,0.596
song_0035,1,rebel / break / ashes,0.5711
song_0036,0,story / home / field,0.2039
song_0037,3,legacy / block / power,0.5446
song_0038,5,chrome / circuit / neon,0.6152
song_0039,2,fiesta / calle / mar,0.6103
song_0040,1,rebel / break / ashes,0.5722
song_0041,0,story / home / field,0.2019
song_0042,3,legacy / block / power,0.5175
song_0043,0,story / home / field,0.1727
song_0044,3,legacy / block / power,0.5315
song_0045,1,rebel / break / ashes,0.5976
song_0046,0,story / home / field,0.194
song_0047,3,legacy / block / power,0.5474
song_0048,1,rebel / break / ashes,0.5347
song_0049,4,blue / room / rain,0.6088
song_0050,0,story / home / field,0.1939
song_0051,2,fiesta / calle / mar,0.5874
song_0052,5,chrome / circuit / neon,0.5616
song_0053,4,blue / room / rain,0.5891
song_0054,0,story / home / field,0.1972
song_0055,3,legacy / block / power,0.5508
song_0056,5,chrome / circuit / neon,0.5729
song_0057,2,fiesta / calle / mar,0.6261
song_0058,2,fiesta / calle / mar,0.5907
song_0059,1,rebel / break / ashes,0.4773
song_0060,2,fiesta / calle / mar,0.5498
