review_id,order_id,product_id,customer_id,score,comment,created_at
REV-000001,ORD-000001,PROD-065,CUST-0213,5,Five stars — nothing to complain about.,2023-09-28T19:56:20.610046153
REV-000002,ORD-000002,PROD-080,CUST-0038,4,Happy with the purchase overall.,2025-03-25T09:47:52.905873402
REV-000003,ORD-000005,PROD-027,CUST-0298,5,Excellent product! Highly recommend.,2023-08-28T14:45:40.530342258
REV-000004,ORD-000006,PROD-030,CUST-0167,5,Five stars — nothing to complain about.,2025-06-17T20:13:24.304928564
REV-000005,ORD-000011,PROD-064,CUST-0251,5,Absolutely love it! Fast shipping too.,2023-07-13T20:01:33.875922417
REV-000006,ORD-000013,PROD-045,CUST-0077,5,Absolutely love it! Fast shipping too.,2024-07-25T02:07:01.029575888
REV-000007,ORD-000014,PROD-025,CUST-0158,5,Five stars — nothing to complain about.,2024-01-03T04:18:03.894588269
REV-000008,ORD-000020,PROD-075,CUST-0049,4,Would recommend to others.,2024-09-12T03:33:11.500917357
REV-000009,ORD-000021,PROD-056,CUST-0289,5,Perfect quality for the price.,2023-08-28T09:33:44.035231453
REV-000010,ORD-000025,PROD-039,CUST-0156,2,Would not buy again.,2023-04-11T12:58:18.688222418
REV-000011,ORD-000026,PROD-057,CUST-0161,4,"Solid product, minor packaging issue.",2024-12-20T01:32:14.866752323
REV-000012,ORD-000029,PROD-070,CUST-0062,5,Exceeded my expectations. Will buy again.,2024-02-11T19:13:30.178263593
REV-000013,ORD-000031,PROD-042,CUST-0216,5,Perfect quality for the price.,2025-04-18T21:25:31.048277600
REV-000014,ORD-000032,PROD-091,CUST-0188,4,Would recommend to others.,2023-10-31T22:41:12.285439488
REV-000015,ORD-000035,PROD-097,CUST-0060,4,Great value for money.,2023-11-07T06:41:59.838237097
REV-000016,ORD-000036,PROD-040,CUST-0231,5,Exceeded my expectations. Will buy again.,2023-05-08T02:07:57.459993589
REV-000017,ORD-000038,PROD-044,CUST-0219,4,"Good quality, works as described.",2023-08-25T20:31:09.752035721
REV-000018,ORD-000040,PROD-082,CUST-0144,5,Excellent product! Highly recommend.,2023-07-11T21:45:59.885217921
REV-000019,ORD-000041,PROD-027,CUST-0157,4,Happy with the purchase overall.,2023-02-28T00:51:15.745914253
REV-000020,ORD-000042,PROD-053,CUST-0039,4,Great value for money.,2023-02-22T11:16:32.383801110
REV-000021,ORD-000043,PROD-022,CUST-0288,4,Great value for money.,2023-08-31T00:29:31.054705676
REV-000022,ORD-000044,PROD-062,CUST-0266,5,Excellent product! Highly recommend.,2023-04-11T20:55:50.004575036
REV-000023,ORD-000050,PROD-031,CUST-0223,4,Would recommend to others.,2024-07-19T02:44:23.991696207
REV-000024,ORD-000052,PROD-004,CUST-0033,5,Five stars — nothing to complain about.,2025-02-16T17:05:50.307602477
REV-000025,ORD-000053,PROD-099,CUST-0221,4,Happy with the purchase overall.,2024-11-04T04:47:57.415487385
REV-000026,ORD-000054,PROD-029,CUST-0251,2,Expected better for this price.,2024-01-18T01:43:44.436984566
REV-000027,ORD-000056,PROD-042,CUST-0123,5,Absolutely love it! Fast shipping too.,2023-05-01T00:57:06.180719956
REV-000028,ORD-000058,PROD-061,CUST-0186,5,Absolutely love it! Fast shipping too.,2023-06-27T11:46:57.521173135
REV-000029,ORD-000059,PROD-081,CUST-0135,4,Great value for money.,2023-06-27T13:09:03.670555072
REV-000030,ORD-000060,PROD-048,CUST-0041,4,Great value for money.,2025-02-01T21:13:34.580708492
REV-000031,ORD-000061,PROD-045,CUST-0102,4,"Good quality, works as described.",2024-05-06T13:29:44.132453140
REV-000032,ORD-000062,PROD-088,CUST-0100,5,Exceeded my expectations. Will buy again.,2023-08-18T08:27:04.771441609
REV-000033,ORD-000065,PROD-097,CUST-0159,3,Decent product but room for improvement.,2024-01-03T06:34:07.981810867
REV-000034,ORD-000066,PROD-095,CUST-0109,4,"Good quality, works as described.",2023-05-08T19:42:13.408018055
REV-000035,ORD-000070,PROD-052,CUST-0115,4,Happy with the purchase overall.,2023-04-24T15:40:02.389681216
REV-000036,ORD-000078,PROD-006,CUST-0192,4,Would recommend to others.,2024-12-06T17:53:48.625441950
